business_name,industry,business_type,size_of_business,website,website_qr,sell_products_online,tools_used,manage_customer_interactions,business_challenges,recommended_tools,social_media_followers,monthly_sales,ad_spend,customer_engagement
Le-Smith,Food,Service,Large,No,No,Yes,"Social Media Management, Accounting","Social media, Email",Operational efficiency,"Accounting, Website Builder, Generate Website QR Code, ERP",11169,51354,3858,32
Bennett Group,Retail,Manufacturing,Small,Yes,Yes,Yes,"CRM, Social Media Management, Analytics","Social media, Automated chatbots",Operational efficiency,"Accounting, ERP",47116,95527,3169,92
Silva PLC,Finance,Manufacturing,Small,No,No,Yes,"Analytics, Social Media Management",CRM,"Customer retention, Marketing","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Website Builder, CRM",24806,63477,6500,93
Garrett-Henderson,Retail,Manufacturing,Small,No,No,Yes,"Email Marketing, ERP, Inventory Management","Email, Automated chatbots",Inventory management,"ERP, Website Builder, Generate Website QR Code, Inventory Management",1380,82762,4021,72
Jackson Inc,Tech,Consulting,Small,Yes,No,No,"Analytics, ERP","Phone, Automated chatbots","Sales, Time management","Project Management Tools, Generate Website QR Code, Analytics, E-commerce Platform, Workflow Automation, CRM",3693,54785,3704,81
"Munoz, Wilson and Best",Finance,E-commerce,Medium,No,No,Yes,Analytics,"In-store, Phone","Time management, Sales, Operational efficiency","Project Management Tools, Accounting, Generate Website QR Code, ERP, Website Builder, Analytics, Workflow Automation, CRM",22215,11839,532,83
"Jackson, Rodriguez and Scott",Retail,Consulting,Medium,Yes,Yes,Yes,"Social Media Management, ERP, Accounting",Phone,"Customer retention, Time management, Operational efficiency","Automated Chatbots, Accounting, CRM, ERP, Workflow Automation, Project Management Tools",25566,12385,3680,69
Thompson-Campbell,Tech,Consulting,Small,Yes,Yes,Yes,Social Media Management,"In-store, CRM","Marketing, Sales, Operational efficiency","Email Marketing, Accounting, ERP, Social Media Management, Analytics, CRM",27723,7697,7968,37
"Terry, Martinez and Gutierrez",Food,Service,Large,Yes,No,No,Inventory Management,"Phone, Email","Customer retention, Sales","Automated Chatbots, Generate Website QR Code, Analytics, E-commerce Platform, CRM",17081,36601,7405,80
"Barajas, Hall and Cruz",Finance,Manufacturing,Medium,No,No,No,"CRM, Social Media Management",CRM,"Sales, Inventory management","Generate Website QR Code, ERP, Inventory Management, Website Builder, Analytics, E-commerce Platform, CRM",2312,17636,609,82
"Bass, Lewis and Martin",Finance,Retail,Small,No,No,No,"Email Marketing, Inventory Management, Accounting, CRM","Social media, Phone, CRM",Marketing,"Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, E-commerce Platform",35326,65768,989,88
Stokes-Delacruz,Retail,E-commerce,Small,Yes,Yes,Yes,"Inventory Management, Analytics, CRM","Email, Automated chatbots, CRM","Sales, Time management","Workflow Automation, Analytics, CRM, Project Management Tools",30455,69087,5454,65
"Johnson, Becker and Jimenez",Food,Retail,Medium,No,No,No,"Inventory Management, Accounting",Social media,Operational efficiency,"Accounting, Generate Website QR Code, ERP, Website Builder, E-commerce Platform",45720,26847,3128,4
Lee LLC,Tech,Retail,Small,Yes,No,Yes,"CRM, Accounting","Social media, Automated chatbots","Marketing, Inventory management, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, Inventory Management",457,61074,1370,60
Young-Gallagher,Tech,Manufacturing,Large,No,No,Yes,Analytics,Automated chatbots,Customer retention,"Website Builder, Generate Website QR Code, CRM, Automated Chatbots",22690,4002,3641,37
Green LLC,Finance,Service,Medium,Yes,No,Yes,"CRM, Accounting, Inventory Management","Automated chatbots, Social media, CRM","Time management, Sales, Marketing","Email Marketing, Project Management Tools, Generate Website QR Code, Social Media Management, Analytics, Workflow Automation, CRM",40749,79013,5033,47
Allison PLC,Tech,Service,Large,Yes,Yes,Yes,"Email Marketing, Analytics, Inventory Management","Email, Automated chatbots","Time management, Customer retention, Marketing","Email Marketing, Project Management Tools, Automated Chatbots, Social Media Management, Workflow Automation, CRM",9801,11201,3589,96
"Dyer, Mendez and Smith",Tech,Consulting,Large,Yes,No,Yes,ERP,"Automated chatbots, Email","Inventory management, Sales","Generate Website QR Code, ERP, Inventory Management, Analytics, CRM",27094,49588,1472,79
"Kelly, Hunt and Swanson",Food,Service,Large,Yes,No,Yes,Accounting,"Social media, Phone","Customer retention, Sales, Marketing","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Analytics, CRM",47964,7620,829,25
Vaughan Ltd,Tech,Retail,Medium,No,No,Yes,"Analytics, Accounting, ERP, Social Media Management","Automated chatbots, In-store","Inventory management, Customer retention, Time management","Automated Chatbots, Project Management Tools, Generate Website QR Code, ERP, Inventory Management, Website Builder, Workflow Automation, CRM",31215,32209,5746,79
Cardenas Ltd,Retail,Service,Small,Yes,Yes,Yes,"Inventory Management, Email Marketing",Automated chatbots,"Sales, Inventory management","Inventory Management, ERP, Analytics, CRM",45201,29366,7350,32
Nelson PLC,Retail,Service,Small,Yes,Yes,Yes,"Inventory Management, Social Media Management, CRM, Email Marketing",In-store,"Customer retention, Operational efficiency, Time management","Automated Chatbots, Accounting, CRM, ERP, Workflow Automation, Project Management Tools",28701,54498,4369,41
Ruiz Inc,Finance,Service,Small,Yes,No,No,"ERP, Analytics","Email, CRM",Marketing,"E-commerce Platform, Social Media Management, Generate Website QR Code, Email Marketing",4980,93220,8781,26
"Carter, Grant and Hernandez",Retail,E-commerce,Large,Yes,No,No,"Inventory Management, Email Marketing","CRM, Automated chatbots",Time management,"E-commerce Platform, Workflow Automation, Generate Website QR Code, Project Management Tools",27730,5835,7366,71
Wood-Martinez,Retail,Retail,Medium,Yes,No,No,"Email Marketing, Social Media Management, Analytics, Inventory Management","Social media, In-store","Marketing, Inventory management","Email Marketing, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform, Inventory Management",43865,29768,3996,7
"Graham, Hansen and Leon",Retail,Retail,Small,No,No,Yes,Email Marketing,"Phone, Email","Customer retention, Marketing","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Website Builder, CRM",6654,79884,1554,14
Andrews-Hammond,Retail,E-commerce,Large,Yes,No,No,"Accounting, Analytics","Email, Automated chatbots","Inventory management, Marketing","Email Marketing, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform, Inventory Management",30398,9574,5861,83
Hurley Inc,Finance,Manufacturing,Small,No,No,Yes,"Email Marketing, Social Media Management, Inventory Management, ERP","Automated chatbots, Email, Phone","Time management, Inventory management, Customer retention","Project Management Tools, Automated Chatbots, CRM, Generate Website QR Code, ERP, Website Builder, Workflow Automation, Inventory Management",4760,80070,2598,64
Chan-Flores,Retail,Retail,Small,No,No,No,Social Media Management,"CRM, Email","Inventory management, Operational efficiency, Sales","Accounting, CRM, Generate Website QR Code, ERP, Website Builder, Analytics, E-commerce Platform, Inventory Management",16658,26127,5200,59
Roberts and Sons,Tech,Service,Medium,No,No,Yes,Analytics,"Email, Phone","Inventory management, Marketing, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Website Builder, Social Media Management, Inventory Management",26095,21714,3728,94
Simpson and Sons,Retail,Service,Small,No,No,No,"Accounting, CRM, ERP, Inventory Management",Phone,"Operational efficiency, Sales","Accounting, Generate Website QR Code, ERP, Website Builder, Analytics, E-commerce Platform, CRM",41676,84624,3701,94
Martin-Newman,Finance,Consulting,Medium,Yes,No,No,"Email Marketing, Social Media Management, ERP","In-store, Phone",Sales,"E-commerce Platform, Analytics, Generate Website QR Code, CRM",5474,26194,1011,1
Wilson and Sons,Finance,Retail,Medium,Yes,No,Yes,Inventory Management,"In-store, Phone, CRM","Operational efficiency, Time management","Accounting, Generate Website QR Code, ERP, Workflow Automation, Project Management Tools",38688,85009,2604,79
"Galvan, Morgan and Fisher",Retail,Service,Small,Yes,Yes,No,"Inventory Management, Accounting",CRM,"Time management, Sales","Project Management Tools, Analytics, E-commerce Platform, Workflow Automation, CRM",49648,76190,6208,20
Ali-Walker,Retail,Manufacturing,Small,Yes,Yes,Yes,"ERP, Social Media Management, Accounting","Social media, CRM, Automated chatbots","Operational efficiency, Sales, Inventory management","Accounting, CRM, ERP, Analytics, Inventory Management",7186,37136,7084,3
Williams-Jenkins,Finance,Manufacturing,Medium,No,No,No,"Accounting, Analytics, Inventory Management, Social Media Management","CRM, Email, Social media","Sales, Time management","Project Management Tools, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",14725,49867,5750,4
Holmes Inc,Tech,E-commerce,Small,Yes,Yes,Yes,"Social Media Management, Email Marketing","Email, Social media, Automated chatbots","Sales, Marketing","Email Marketing, Social Media Management, Analytics, CRM",29041,24937,2826,27
"Stephens, Pierce and Garcia",Tech,Consulting,Medium,No,No,Yes,"Inventory Management, Email Marketing, CRM, Social Media Management","Email, Social media, Phone","Customer retention, Marketing","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Website Builder, CRM",35473,53503,3928,12
Moore-Cook,Retail,E-commerce,Large,Yes,Yes,No,"Social Media Management, ERP, CRM, Email Marketing","Automated chatbots, Email","Sales, Operational efficiency, Customer retention","Automated Chatbots, Accounting, ERP, Analytics, E-commerce Platform, CRM",31076,78501,2772,11
Curtis-Decker,Retail,Manufacturing,Medium,Yes,Yes,No,"Analytics, Inventory Management, Social Media Management","In-store, Email","Time management, Sales","Project Management Tools, Analytics, E-commerce Platform, Workflow Automation, CRM",14228,80486,8461,57
"Arnold, Powell and Moore",Food,Manufacturing,Small,Yes,No,No,Analytics,"Email, Phone","Inventory management, Operational efficiency, Customer retention","Automated Chatbots, Accounting, CRM, Generate Website QR Code, ERP, E-commerce Platform, Inventory Management",35522,90941,2029,17
Davis Group,Food,Consulting,Medium,Yes,Yes,Yes,"Accounting, Social Media Management","Phone, CRM","Time management, Sales","CRM, Workflow Automation, Analytics, Project Management Tools",23908,71026,3266,28
"Morrison, Price and Brooks",Tech,Retail,Large,No,No,No,"CRM, Social Media Management, Inventory Management, Accounting","Social media, Automated chatbots, In-store",Time management,"Generate Website QR Code, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",22128,62225,865,72
"Hicks, Orozco and Beck",Retail,Retail,Small,No,No,No,"Email Marketing, ERP",Phone,"Operational efficiency, Marketing","Email Marketing, Accounting, Generate Website QR Code, ERP, Website Builder, Social Media Management, E-commerce Platform",38903,2717,4618,73
"Osborn, Berry and Glass",Retail,Manufacturing,Large,Yes,Yes,Yes,"Accounting, Social Media Management, Analytics, CRM","Social media, Email","Sales, Customer retention, Time management","Automated Chatbots, CRM, Analytics, Workflow Automation, Project Management Tools",7336,23139,8711,1
Brown Group,Retail,Consulting,Large,Yes,Yes,Yes,"ERP, CRM, Analytics, Email Marketing","Phone, In-store",Inventory management,"ERP, Inventory Management",17889,8136,8202,80
Gonzalez-Hayes,Retail,Manufacturing,Small,Yes,Yes,No,Accounting,"Phone, Automated chatbots",Time management,"E-commerce Platform, Workflow Automation, Project Management Tools",47325,49837,321,57
"Adams, Ballard and Davis",Tech,Manufacturing,Small,Yes,No,Yes,"ERP, Inventory Management",CRM,"Sales, Customer retention, Marketing","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Analytics, CRM",39138,65271,203,26
"Richardson, Robinson and Alexander",Tech,Manufacturing,Small,Yes,Yes,No,"Inventory Management, CRM, Analytics",In-store,"Inventory management, Time management","Project Management Tools, ERP, E-commerce Platform, Workflow Automation, Inventory Management",40240,55892,4712,72
Melendez-Hall,Food,Service,Medium,No,No,No,Analytics,"Phone, In-store","Marketing, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, Website Builder, E-commerce Platform",39271,7138,359,86
"Schaefer, Juarez and Wolf",Retail,Consulting,Medium,Yes,Yes,Yes,"Analytics, CRM, Accounting","Automated chatbots, In-store, Social media",Marketing,"Social Media Management, Email Marketing",39209,94963,1938,97
Jensen-Barnes,Tech,E-commerce,Small,No,No,Yes,"Analytics, Social Media Management, ERP","Social media, Automated chatbots",Inventory management,"ERP, Website Builder, Generate Website QR Code, Inventory Management",9942,8759,530,83
Huffman-Williams,Retail,Consulting,Large,No,No,Yes,"Accounting, Email Marketing",Phone,Customer retention,"Website Builder, Generate Website QR Code, CRM, Automated Chatbots",28719,39050,5611,98
Marsh-Griffith,Food,E-commerce,Small,No,No,No,"Accounting, Social Media Management, CRM, Analytics","Social media, Phone, CRM",Time management,"Generate Website QR Code, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",23783,56522,8162,85
"Kennedy, Gill and Anderson",Tech,Service,Medium,No,No,Yes,"CRM, Analytics, Inventory Management, ERP",Email,"Time management, Marketing, Sales","Email Marketing, CRM, Generate Website QR Code, Social Media Management, Website Builder, Analytics, Workflow Automation, Project Management Tools",20281,66556,1141,18
Bennett Group,Retail,E-commerce,Large,No,No,No,"Email Marketing, Inventory Management","Automated chatbots, CRM, Email","Inventory management, Operational efficiency","Accounting, Generate Website QR Code, ERP, Website Builder, E-commerce Platform, Inventory Management",36269,93535,7574,10
Green-Kline,Tech,Retail,Medium,Yes,No,Yes,"Inventory Management, Social Media Management","In-store, Social media",Sales,"Analytics, Generate Website QR Code, CRM",46682,72716,8707,46
Ramirez Group,Finance,Manufacturing,Medium,No,No,No,Inventory Management,Automated chatbots,"Sales, Time management","Project Management Tools, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",11807,58578,1149,55
"Hernandez, Miller and Wright",Finance,Retail,Small,Yes,Yes,Yes,"Inventory Management, CRM, Analytics, Accounting","Automated chatbots, Email","Marketing, Customer retention, Time management","Email Marketing, Automated Chatbots, CRM, Social Media Management, Workflow Automation, Project Management Tools",26266,20755,7725,60
Mitchell-Harding,Finance,Retail,Medium,Yes,No,No,CRM,"Automated chatbots, Email","Marketing, Inventory management","Email Marketing, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform, Inventory Management",44097,78017,2155,74
Sandoval-Valentine,Tech,Manufacturing,Large,No,No,Yes,"CRM, Analytics, ERP","Email, Phone, In-store","Marketing, Time management","Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, Workflow Automation, Project Management Tools",29991,95813,3641,14
"Gallegos, York and Chavez",Retail,Retail,Medium,Yes,No,No,"Accounting, ERP, Social Media Management, Analytics","Social media, In-store","Inventory management, Operational efficiency, Marketing","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform, Inventory Management",40288,1859,772,33
Bailey-Lee,Tech,Manufacturing,Small,Yes,No,No,"Analytics, Social Media Management, Email Marketing","Phone, Social media, CRM",Sales,"E-commerce Platform, Analytics, Generate Website QR Code, CRM",49882,73277,1260,93
Morris Ltd,Tech,Manufacturing,Small,No,No,No,"Email Marketing, CRM, Accounting, Inventory Management","Social media, In-store","Operational efficiency, Inventory management","Accounting, Generate Website QR Code, ERP, Website Builder, E-commerce Platform, Inventory Management",9622,20487,2765,10
"Cox, Johnson and Doyle",Food,E-commerce,Large,No,No,No,"Accounting, Social Media Management",Social media,"Customer retention, Inventory management, Marketing","Email Marketing, Automated Chatbots, Generate Website QR Code, ERP, Inventory Management, Website Builder, Social Media Management, E-commerce Platform, CRM",17306,84818,1559,79
Clarke Ltd,Food,Retail,Medium,No,No,No,"Analytics, Social Media Management, Email Marketing",Phone,Customer retention,"Automated Chatbots, Generate Website QR Code, Website Builder, E-commerce Platform, CRM",2978,45825,9785,73
Brown-Bishop,Finance,Retail,Medium,Yes,No,No,"Analytics, Accounting, CRM, ERP","In-store, Social media","Marketing, Time management","Email Marketing, Generate Website QR Code, Social Media Management, E-commerce Platform, Workflow Automation, Project Management Tools",2718,32716,7646,59
"Conway, Black and Cowan",Tech,Service,Large,No,No,No,"ERP, CRM, Email Marketing, Inventory Management","Email, Social media","Time management, Marketing","Email Marketing, Generate Website QR Code, Website Builder, Social Media Management, E-commerce Platform, Workflow Automation, Project Management Tools",14120,82502,5646,49
Davis-Archer,Food,Retail,Large,Yes,Yes,No,"ERP, Inventory Management","Phone, Social media, Email","Customer retention, Time management, Operational efficiency","Automated Chatbots, Accounting, CRM, ERP, E-commerce Platform, Workflow Automation, Project Management Tools",39860,80212,8675,61
Jenkins-Murray,Retail,Service,Large,No,No,No,Inventory Management,"Email, Automated chatbots","Marketing, Customer retention, Operational efficiency","Email Marketing, Automated Chatbots, Accounting, Generate Website QR Code, ERP, Social Media Management, Website Builder, E-commerce Platform, CRM",35171,70467,4418,41
Barnes and Sons,Tech,Retail,Small,No,No,No,Inventory Management,"In-store, Email, Social media","Operational efficiency, Time management","Accounting, Generate Website QR Code, ERP, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",35807,78365,1636,14
Decker Group,Food,E-commerce,Large,No,No,Yes,"CRM, Analytics, Accounting, Inventory Management","Phone, Email",Inventory management,"ERP, Website Builder, Generate Website QR Code, Inventory Management",9466,4607,4392,50
"Wallace, Pugh and Andrews",Finance,Service,Medium,Yes,No,Yes,CRM,In-store,Customer retention,"Generate Website QR Code, CRM, Automated Chatbots",39281,66102,1483,93
Robles LLC,Tech,Service,Small,No,No,No,"CRM, Email Marketing","Social media, Email","Sales, Time management","Project Management Tools, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",19494,54581,1175,21
Rivera and Sons,Finance,Manufacturing,Large,Yes,No,No,CRM,"CRM, Phone, Social media","Marketing, Inventory management, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform, Inventory Management",13221,98965,5935,25
Rios-Walker,Tech,Retail,Large,Yes,No,No,"Analytics, Email Marketing",CRM,"Inventory management, Marketing, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform, Inventory Management",22157,26871,3293,55
Williamson Inc,Finance,Retail,Large,No,No,Yes,Social Media Management,"In-store, Phone","Customer retention, Sales, Operational efficiency","Automated Chatbots, Accounting, Generate Website QR Code, ERP, Website Builder, Analytics, CRM",44070,29636,5351,50
"Davis, Patterson and Roberts",Finance,Service,Medium,Yes,No,No,"Inventory Management, Accounting","Automated chatbots, CRM, Email",Time management,"E-commerce Platform, Workflow Automation, Generate Website QR Code, Project Management Tools",36553,9974,2404,41
"Jacobs, Hogan and Cooper",Tech,E-commerce,Large,Yes,No,No,"CRM, Inventory Management, Accounting, Social Media Management","CRM, In-store",Customer retention,"E-commerce Platform, Generate Website QR Code, CRM, Automated Chatbots",23092,28685,7051,16
Henderson-Guerrero,Tech,Service,Small,Yes,No,Yes,"Inventory Management, Email Marketing, CRM","Email, Social media","Customer retention, Time management, Marketing","Email Marketing, Automated Chatbots, CRM, Generate Website QR Code, Social Media Management, Workflow Automation, Project Management Tools",28417,18077,7334,72
Morales Group,Tech,Consulting,Small,No,No,Yes,Social Media Management,"In-store, CRM, Social media","Customer retention, Operational efficiency","Automated Chatbots, Accounting, Generate Website QR Code, ERP, Website Builder, CRM",24345,1749,2562,55
"James, Williams and Lindsey",Tech,Retail,Medium,Yes,Yes,Yes,"Accounting, Inventory Management","Social media, CRM","Sales, Time management","Workflow Automation, Analytics, CRM, Project Management Tools",624,34058,8958,81
Houston-Steele,Food,Retail,Medium,Yes,Yes,No,"Social Media Management, Inventory Management, Accounting, CRM",Email,"Marketing, Operational efficiency, Time management","Email Marketing, Accounting, ERP, Social Media Management, E-commerce Platform, Workflow Automation, Project Management Tools",16497,69333,3053,93
"Young, Hickman and Davis",Tech,Retail,Large,Yes,Yes,No,"Analytics, Email Marketing, ERP","Automated chatbots, CRM","Sales, Marketing","Email Marketing, Social Media Management, Analytics, E-commerce Platform, CRM",9814,74191,4646,65
Reyes-Mitchell,Tech,Manufacturing,Large,Yes,No,No,"CRM, Accounting","Automated chatbots, Email, CRM","Marketing, Time management, Inventory management","Email Marketing, Generate Website QR Code, ERP, Inventory Management, Social Media Management, E-commerce Platform, Workflow Automation, Project Management Tools",42092,84152,821,94
Grant Inc,Tech,Service,Large,Yes,No,Yes,Email Marketing,Social media,"Sales, Operational efficiency, Time management","Project Management Tools, Accounting, Generate Website QR Code, ERP, Analytics, Workflow Automation, CRM",5731,12468,5271,7
"Moore, Davis and Warner",Finance,Retail,Medium,No,No,No,Inventory Management,Social media,Marketing,"Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, E-commerce Platform",40203,6482,2225,82
Harris-Shepherd,Retail,E-commerce,Medium,Yes,Yes,Yes,"Inventory Management, Email Marketing",Social media,Marketing,"Social Media Management, Email Marketing",16956,79591,8473,98
Bennett-Solis,Retail,Consulting,Small,Yes,Yes,Yes,ERP,"Phone, Email, Automated chatbots",Inventory management,"ERP, Inventory Management",2080,32947,9496,89
Spencer-Garcia,Finance,Consulting,Small,Yes,Yes,Yes,"Analytics, ERP",Email,"Customer retention, Sales","Analytics, CRM, Automated Chatbots",1398,81485,6487,62
Smith Inc,Retail,Consulting,Medium,Yes,Yes,No,"ERP, CRM, Social Media Management, Analytics","Social media, CRM","Customer retention, Inventory management, Time management","Automated Chatbots, Project Management Tools, CRM, ERP, E-commerce Platform, Workflow Automation, Inventory Management",38054,30407,4284,10
Rodriguez-Berry,Retail,Retail,Small,No,No,No,"CRM, Inventory Management","Automated chatbots, CRM",Time management,"Generate Website QR Code, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",23261,93240,2531,88
Christian PLC,Retail,Manufacturing,Large,Yes,Yes,Yes,"ERP, Social Media Management, Analytics","In-store, CRM, Automated chatbots","Marketing, Customer retention, Time management","Email Marketing, Automated Chatbots, CRM, Social Media Management, Workflow Automation, Project Management Tools",46950,78831,4040,61
Fernandez Group,Finance,Consulting,Medium,No,No,No,Social Media Management,"Social media, In-store","Inventory management, Marketing, Customer retention","Email Marketing, Automated Chatbots, CRM, Generate Website QR Code, ERP, Website Builder, Social Media Management, E-commerce Platform, Inventory Management",27457,71780,4000,46
"Rodriguez, Gilmore and Warren",Retail,Retail,Small,Yes,Yes,No,"CRM, Inventory Management, Accounting, Email Marketing","Social media, CRM","Marketing, Customer retention","Email Marketing, Automated Chatbots, Social Media Management, E-commerce Platform, CRM",15997,37004,9165,92
"Luna, Mason and Chang",Food,Consulting,Medium,No,No,Yes,"Email Marketing, Inventory Management, ERP, Analytics",CRM,"Marketing, Customer retention","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Website Builder, CRM",17366,81469,7631,23
Noble Ltd,Finance,Manufacturing,Small,Yes,Yes,Yes,"Inventory Management, Accounting, CRM","In-store, Automated chatbots","Time management, Customer retention","CRM, Workflow Automation, Project Management Tools, Automated Chatbots",2822,27387,2401,3
"Smith, Reyes and Oconnor",Tech,Service,Medium,Yes,Yes,Yes,"Accounting, Social Media Management, Analytics, ERP","In-store, Social media","Marketing, Customer retention","Social Media Management, Email Marketing, CRM, Automated Chatbots",8024,27180,1802,22
Lopez LLC,Food,Manufacturing,Large,Yes,No,Yes,"Social Media Management, Email Marketing, Inventory Management",Social media,"Sales, Marketing, Time management","Email Marketing, Project Management Tools, Generate Website QR Code, Social Media Management, Analytics, Workflow Automation, CRM",24110,14272,2458,38
Wong PLC,Food,E-commerce,Medium,No,No,No,"CRM, Social Media Management, Accounting, Inventory Management","Automated chatbots, Social media, Email",Sales,"Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, CRM",33073,19521,4662,62
Hamilton LLC,Tech,E-commerce,Medium,No,No,No,ERP,"In-store, Phone","Marketing, Time management","Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",41318,16047,8138,77
"Smith, Hayes and Lewis",Finance,Consulting,Large,No,No,Yes,"Inventory Management, ERP","In-store, Email, Social media",Time management,"Workflow Automation, Website Builder, Generate Website QR Code, Project Management Tools",22399,87363,2549,24
"Baker, Jackson and Mathews",Retail,Consulting,Medium,No,No,No,"Social Media Management, ERP, Email Marketing",CRM,"Operational efficiency, Time management, Inventory management","Accounting, Generate Website QR Code, ERP, Inventory Management, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",4179,99641,8263,37
"Rose, Taylor and Andersen",Retail,E-commerce,Medium,Yes,Yes,Yes,"Accounting, CRM, Analytics","Social media, CRM, Phone",Customer retention,"CRM, Automated Chatbots",30688,83056,3288,20
Paul-Vang,Food,Service,Medium,No,No,No,"Accounting, Social Media Management, CRM, ERP","CRM, In-store","Sales, Time management","Project Management Tools, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",45715,95014,1154,56
Russell Inc,Finance,Manufacturing,Small,Yes,Yes,Yes,Inventory Management,"CRM, Social media, Automated chatbots",Inventory management,"ERP, Inventory Management",27889,59990,4626,29
Taylor LLC,Food,E-commerce,Small,Yes,Yes,No,Accounting,Social media,"Inventory management, Marketing, Time management","Email Marketing, Project Management Tools, ERP, Social Media Management, E-commerce Platform, Workflow Automation, Inventory Management",18367,79436,7160,20
Johnson LLC,Retail,Consulting,Small,No,No,Yes,"Email Marketing, ERP, Accounting","In-store, Social media, CRM","Marketing, Customer retention, Sales","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Website Builder, Analytics, CRM",9533,38356,1993,94
"Moody, James and Christian",Finance,E-commerce,Medium,No,No,No,"CRM, ERP","Email, Automated chatbots, Phone","Time management, Inventory management","Generate Website QR Code, ERP, Inventory Management, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",39906,57513,5740,51
Marshall-Burnett,Tech,Retail,Medium,No,No,No,"ERP, Accounting","Automated chatbots, CRM, Phone","Time management, Inventory management, Operational efficiency","Accounting, Generate Website QR Code, ERP, Inventory Management, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",25231,6325,6072,26
"Gray, Gallagher and Wheeler",Retail,Manufacturing,Large,Yes,Yes,No,"Inventory Management, Analytics","Email, Automated chatbots","Time management, Marketing, Operational efficiency","Email Marketing, Accounting, ERP, Social Media Management, E-commerce Platform, Workflow Automation, Project Management Tools",26196,5351,4307,33
Mcintyre Inc,Finance,Service,Medium,Yes,Yes,No,"Inventory Management, CRM, ERP, Email Marketing",Email,Sales,"E-commerce Platform, Analytics, CRM",25970,49130,8056,82
Mcbride Ltd,Tech,Consulting,Large,Yes,Yes,No,Accounting,Email,"Operational efficiency, Customer retention, Inventory management","Automated Chatbots, Accounting, ERP, Inventory Management, E-commerce Platform, CRM",36162,40471,7340,83
"Chavez, Blake and Le",Tech,Retail,Medium,Yes,Yes,Yes,"ERP, CRM, Accounting, Analytics",Phone,Marketing,"Social Media Management, Email Marketing",11945,7632,6505,86
Phillips-Taylor,Food,E-commerce,Small,Yes,No,Yes,ERP,"Email, Phone","Time management, Customer retention, Sales","Project Management Tools, Automated Chatbots, Generate Website QR Code, Analytics, Workflow Automation, CRM",33184,71903,3548,25
Carpenter and Sons,Tech,Service,Small,Yes,No,No,"Accounting, ERP, CRM","Email, Phone, Social media","Customer retention, Sales","Automated Chatbots, Generate Website QR Code, Analytics, E-commerce Platform, CRM",1586,30566,6547,85
Aguilar-Jimenez,Food,Service,Large,No,No,No,"Accounting, Email Marketing",CRM,"Time management, Marketing, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Website Builder, Social Media Management, E-commerce Platform, Workflow Automation, Project Management Tools",15965,68707,3721,70
"Wilson, Vargas and Hale",Finance,Manufacturing,Medium,Yes,No,Yes,"CRM, Social Media Management",In-store,"Operational efficiency, Sales, Marketing","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, Analytics, CRM",43707,87772,3014,27
"Taylor, Scott and Arnold",Finance,Retail,Medium,Yes,No,Yes,"Social Media Management, Accounting, Inventory Management, Email Marketing","CRM, Phone, Email","Customer retention, Time management","Automated Chatbots, CRM, Generate Website QR Code, Workflow Automation, Project Management Tools",2605,72679,5010,93
